Country,Year,Methane,CO2,Greenhouse,TotalEmi,HDI
France,2014,59761.95285,341152.5315,465369.5273,866284.0117,0.888107437
France,2013,59044.22446,369985.5945,492151.894,921181.713,0.887026303
France,2012,60127.51322,370491.1537,493928.8044,924547.4713,0.885877734
France,2011,61629.45576,368183.4384,492623.1582,922436.0524,0.884195505
France,2010,62525.86732,394235.6741,519972.3331,976733.8746,0.880909136
France,2000,70804.66298,417116.5447,558215.9727,1046137.18,0.848390536
France,1990,68916.24518,400652.624,551057.0296,1020625.899,0.779266918
Germany,2014,55527.86344,792902.788,901763.9388,1750194.59,0.916079908
Germany,2013,56975.08383,835792.6323,945150.948,1837918.664,0.915162283
Germany,2012,57647.41294,817031.4402,926338.3616,1801017.215,0.914762983
Germany,2011,56966.47202,812483.2196,921829.7435,1791279.435,0.910603876
Germany,2010,58092.1746,832259.2033,941038.6912,1831390.069,0.906466666
Germany,2000,87647.83106,899284.9934,1043294.434,2030227.259,0.855195381
Germany,1990,119234.7695,1052238.234,1249828.649,2421301.652,0.800912566
Greece,2014,11086.13592,79628.2744,101298.1841,192012.5944,0.865187181
Greece,2013,11155.03253,82910.62596,104564.0312,198629.6897,0.86342683
Greece,2012,11249.2097,90710.57425,112086.4364,214046.2204,0.864588183
Greece,2011,11378.90583,94102.94398,115576.7833,221058.6331,0.863849069
Greece,2010,11540.64043,97035.08276,118626.5175,227202.2407,0.866493544
Greece,2000,12816.9912,103019.6647,127570.605,243407.2609,0.799053907
Greece,1990,12534.1246,83403.72,104716.4921,200654.3367,0.759228559
Hungary,2014,7613.968985,43573.40884,57225.15528,108412.5331,0.828350453
Hungary,2013,7618.50037,43930.87818,57553.8333,109103.2118,0.825370564
Hungary,2012,7824.920809,46774.94485,60106.89997,114706.7656,0.823267721
Hungary,2011,7821.166271,50272.8651,63808.01416,121902.0455,0.822831849
Hungary,2010,8036.884859,52108.89276,65523.68954,125669.4672,0.821484249
Hungary,2000,8957.818342,58336.80706,73556.6927,140851.3181,0.768677864
Hungary,1990,11967.24252,73115.19863,94133.97193,179216.4131,0.70288924
Iceland,2014,592.4900978,3272.208233,4596.847329,8461.54566,0.899412127
Iceland,2013,546.3262898,3301.796314,4534.662835,8382.785438,0.899399484
Iceland,2012,545.9869347,3290.576431,4550.40348,8386.966846,0.896945627
Iceland,2011,565.8417003,3298.56769,4520.220864,8384.630253,0.895590527
Iceland,2010,583.7268257,3383.552219,4730.35143,8697.630474,0.892083698
Iceland,2000,558.8437903,2728.937485,3962.772806,7250.554082,0.859086553
Iceland,1990,521.754008,2106.026068,3633.558009,6261.338085,0.801619831
Ireland,2014,13433.35375,36559.06858,58253.6714,108246.0937,0.915541562
Ireland,2013,13224.50044,37049.42383,58546.72726,108820.6515,0.912306299
Ireland,2012,12891.03789,38031.61872,58685.21184,109607.8684,0.909851039
Ireland,2011,12594.39562,37895.19543,58194.66762,108684.2587,0.908905082
Ireland,2010,12632.79386,41558.27509,62299.01207,116490.081,0.907999792
Ireland,2000,14532.20252,45123.33544,69324.95522,128980.4932,0.860594212
Ireland,1990,14881.82673,32768.52676,56168.54793,103818.9014,0.770015305
Italy,2014,43252.02811,342826.6771,418587.2149,804665.9201,0.873022984
Italy,2013,44074.40603,362063.6493,438887.3696,845025.4249,0.873188968
Italy,2012,46521.3334,389340.7634,468717.9158,904580.0126,0.871708363
Italy,2011,46314.00525,416499.5342,494789.5846,957603.124,0.87274623
Italy,2010,47942.25823,428879.6812,508424.0983,985246.0377,0.868561324
Italy,2000,55514.80529,465175.0734,554479.2897,1075169.168,0.828999767
Italy,1990,54530.77002,436204.2499,521920.6005,1012655.62,0.765973355
Japan,2014,35481.86546,1265490.609,1363862.305,2664834.78,0.890593213
Japan,2013,36065.687,1311509.149,1407883.226,2755458.062,0.890096344
Japan,2012,36452.81716,1296186.358,1390339.973,2722979.148,0.888041452
Japan,2011,37281.69613,1261862.938,1354616.007,2653760.641,0.88596249
Japan,2010,38272.25546,1212970.225,1304902.642,2556145.123,0.884146553
Japan,2000,41474.30355,1274297.988,1386713.844,2702486.135,0.856955492
Japan,1990,48582.35458,1155993.62,1270742.948,2475318.923,0.814100255
Latvia,2014,2082.212145,7158.718037,11393.29361,20634.22379,0.81876601
Latvia,2013,2010.243333,7353.220444,11450.92958,20814.39336,0.815756101
Latvia,2012,1971.185016,7521.122528,11526.20942,21018.51696,0.812857414
Latvia,2011,1897.768396,7807.65941,11634.56886,21339.99666,0.812218576
Latvia,2010,1949.622046,8524.087227,12373.11963,22846.8289,0.810715172
Latvia,2000,1922.676698,7069.94204,10460.68478,19453.30352,0.72726455
Latvia,1990,3671.259763,19794.29445,26397.40224,49862.95645,0.69231001
Liechtenstein,2014,20.6049163,161.5418167,#N/A,#N/A,0.90750119
Liechtenstein,2013,19.90101735,192.8644158,#N/A,#N/A,0.906996743
Liechtenstein,2012,20.78445638,185.6324314,#N/A,#N/A,0.906491733
Liechtenstein,2011,20.37373586,177.0880402,#N/A,#N/A,0.903300703
Liechtenstein,2010,19.93271477,191.0475017,#N/A,#N/A,0.902276455
Lithuania,2014,3464.712009,12732.79886,19777.74981,35975.26068,0.839421883
Lithuania,2013,3420.265936,12987.81753,19850.82895,36258.91242,0.837134079
Lithuania,2012,3520.262233,13975.52321,21112.67638,38608.46183,0.83297498
Lithuania,2011,3505.336726,13919.0155,21254.45751,38678.80974,0.830676338
Lithuania,2010,3672.494912,13618.91266,20755.13472,38046.5423,0.826807557
Lithuania,2000,3764.72211,11801.9649,19605.28432,35171.97133,0.75396455
Lithuania,1990,7006.655486,35812.89368,48190.28202,91009.83119,0.730152815
